V5K,Vancouver (North Hastings-Sunrise),49.2807,-123.0397
V5L,Vancouver (North Grandview-Woodlands),49.2795,-123.0667
V5M,Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),49.26,-123.0398
V5N,Vancouver (South Grandview-Woodlands / NE Kensington),49.2551,-123.0667
V5P,Vancouver (SE Kensington / Victoria-Fraserview),49.222,-123.0683
V5R,Vancouver (South Renfrew-Collingwood),49.2397,-123.0407
V5S,Vancouver (Killarney),49.2175,-123.038
V5T,Vancouver (East Mount Pleasant),49.262,-123.0923
V5V,Vancouver (West Kensington / NE Riley Park-Little Mountain),49.248,-123.0913
V5W,Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),49.2327,-123.0917
V5X,Vancouver (SE Oakridge / East Marpole / South Sunset),49.2156,-123.0979
V5Y,Vancouver (West Mount Pleasant / West Riley Park-Little Mountain),49.2492,-123.1104
V5Z,Vancouver (East Fairview / South Cambie),49.2475,-123.121
V6A,Vancouver (Strathcona / Chinatown / Downtown Eastside),49.2779,-123.0908
V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),49.2788,-123.1139
V6C,Vancouver (Waterfront / Coal Harbour / Canada Place),49.2866,-123.1158
V6E,Vancouver (South West End),49.2833,-123.1298
V6G,Vancouver (North West End / Stanley Park),49.299,-123.1408
V6H,Vancouver (West Fairview / Granville Island / NE Shaughnessy),49.2559,-123.1322
V6J,Vancouver (NW Shaughnessy / East Kitsilano / Quilchena),49.2603,-123.146
V6K,Vancouver (Central Kitsilano),49.2646,-123.1648
V6L,Vancouver (NW Arbutus Ridge),49.2497,-123.166
V6M,Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge),49.2344,-123.1451
V6N,Vancouver (Dunbar-Southlands / Musqueam),49.2302,-123.189
V6P,Vancouver (SE Kerrisdale / SW Oakridge / West Marpole),49.2151,-123.1396
V6R,Vancouver (West Kitsilano / Jericho),49.2666,-123.1976
V6S,Vancouver (Chaldecutt / South University Endowment Lands),49.2491,-123.2088
V6T,Vancouver (UBC),49.4635,-122.822
V6Z,Vancouver (SW Downtown),49.2767,-123.13
V7G,North Vancouver Outer East,49.3678,-122.9278
V7H,North Vancouver Inner East,49.3551,-122.9802
V7J,North Vancouver East Central,49.3622,-123.0178
V7K,North Vancouver North Central,49.3597,-123.0377
V7L,North Vancouver South Central,49.316,-123.0576
V7M,North Vancouver Southwest Central,49.3222,-123.0834
V7N,North Vancouver Northwest Central,49.35,-123.0679
V7P,North Vancouver Southwest,49.322,-123.1149
V7R,North Vancouver Northwest,49.3775,-123.0862
V7S,West Vancouver North,49.3745,-123.1864
V7T,West Vancouver Southeast,49.3322,-123.1417
V7V,West Vancouver South,49.3397,-123.1912
V7W,West Vancouver West,49.3615,-123.2627
V7X,Vancouver (Bentall Centre),49.2935,-123.1162
V7Y,Vancouver (Pacific Centre),49.2819,-123.119
